Model,MOY,Age,Mileage,Engine_Capacity,Fuel_Type,Transmission,Price
HIACE,2015,8,133000,3000,DIESEL,AUTOMATIC,16800000
HIACE,2015,8,110000,2980,DIESEL,AUTOMATIC,16800000
HIACE,2017,6,75000,2500,PETROL,AUTOMATIC,16800000
HIACE,2015,8,56000,2980,DIESEL,AUTOMATIC,16750000
HIACE,2013,10,90000,2000,DIESEL,AUTOMATIC,16530000
PREMIO,2018,5,30000,1500,PETROL,AUTOMATIC,16350000
HIACE,2015,8,63000,2980,DIESEL,AUTOMATIC,16300000
HIACE,2015,8,106000,3000,DIESEL,AUTOMATIC,16250000
HIACE,2017,6,130000,2980,DIESEL,AUTOMATIC,16250000
HIACE,2017,6,130000,2980,DIESEL,AUTOMATIC,16250000
HIACE,2015,8,49000,2300,PETROL,AUTOMATIC,16200000
HIACE,2015,8,49000,2300,PETROL,AUTOMATIC,16200000
HIACE,2015,8,149900,3000,DIESEL,AUTOMATIC,16190000
HIACE,2015,8,149900,3000,DIESEL,MANUAL,16190000
HIACE,2014,9,78000,2955,DIESEL,AUTOMATIC,16150000
HIACE,2014,9,78000,2955,PETROL,MANUAL,16150000
HARRIER,2015,8,150000,2500,HYBRID,AUTOMATIC,16000000
HIACE,2017,6,5000,1990,PETROL,AUTOMATIC,16000000
LAND CRUISER,2000,23,210000,4200,DIESEL,AUTOMATIC,16000000
HIACE,2017,6,5000,1990,PETROL,AUTOMATIC,16000000
LAND CRUISER PRADO,2007,16,213000,3000,DIESEL,AUTOMATIC,15990000
HIACE,2015,8,80000,2500,DIESEL,AUTOMATIC,15900000
HIACE,2015,8,80000,2500,DIESEL,AUTOMATIC,15900000
HIACE,2015,8,80000,2500,PETROL,AUTOMATIC,15900000
PREMIO,2018,5,52500,1490,PETROL,AUTOMATIC,15850000
PREMIO,2018,5,52500,1490,PETROL,AUTOMATIC,15850000
LAND CRUISER PRADO,2002,21,141000,2690,PETROL,AUTOMATIC,15800000
PREMIO,2018,5,52000,1500,PETROL,AUTOMATIC,15800000
PREMIO,2019,4,52000,1500,PETROL,AUTOMATIC,15800000
HIACE,2015,8,164000,3000,DIESEL,AUTOMATIC,15800000
HIACE,2015,8,164000,3000,DIESEL,AUTOMATIC,15800000
PREMIO,2019,4,52000,1500,PETROL,AUTOMATIC,15800000
PREMIO,2018,5,52000,1500,PETROL,MANUAL,15800000
LAND CRUISER,2004,19,146000,4600,PETROL,AUTOMATIC,15750000
HIACE,2015,8,105000,3000,DIESEL,AUTOMATIC,15700000
HIACE,2016,7,102700,3000,DIESEL,AUTOMATIC,15700000
HIACE,2016,7,68956,2000,DIESEL,AUTOMATIC,15700000
PREMIO,2018,5,45500,1490,PETROL,AUTOMATIC,15700000
PREMIO,2018,5,45500,1490,PETROL,AUTOMATIC,15700000
HIACE,2016,7,102700,3000,PETROL,MANUAL,15700000
HIACE,2016,7,580000,2450,PETROL,AUTOMATIC,15700000
HIACE,2016,7,68956,2000,PETROL,AUTOMATIC,15700000
LAND CRUISER PRADO,2007,16,213000,3000,DIESEL,AUTOMATIC,15690000
LAND CRUISER PRADO,2007,16,213000,3000,DIESEL,AUTOMATIC,15690000
LAND CRUISER PRADO,2007,16,213000,3000,PETROL,MANUAL,15690000
PREMIO,2018,5,49000,1500,PETROL,AUTOMATIC,15500000
LAND CRUISER,2005,18,228000,4200,DIESEL,MANUAL,15500000
LAND CRUISER,2005,18,228000,4200,DIESEL,MANUAL,15500000
HIACE,2015,8,95000,2000,DIESEL,AUTOMATIC,15300000
CHR,2020,3,26000,1200,PETROL,AUTOMATIC,15250000
HIACE,2015,8,140000,3000,DIESEL,AUTOMATIC,15250000
PREMIO,2018,5,57000,1500,PETROL,AUTOMATIC,15250000
HIACE,2015,8,140000,3000,DIESEL,AUTOMATIC,15250000
HIACE,2015,8,52000,2500,DIESEL,AUTOMATIC,15200000
HIACE,2014,9,52000,2980,DIESEL,AUTOMATIC,15200000
HIACE,2015,8,52000,2500,DIESEL,AUTOMATIC,15200000
HIACE,2015,8,52000,2500,DIESEL,MANUAL,15200000
HIACE,2015,8,32154,2000,PETROL,AUTOMATIC,15000000
LAND CRUISER,1999,24,226000,4200,DIESEL,AUTOMATIC,15000000
HIACE,2015,8,153000,2500,DIESEL,MANUAL,14975000
HIACE,2014,9,113300,3000,DIESEL,AUTOMATIC,14975000
HIACE,2014,9,113300,3000,PETROL,AUTOMATIC,14975000
PREMIO,2018,5,92000,1500,PETROL,AUTOMATIC,14950000
PREMIO,2018,5,86352,1500,PETROL,AUTOMATIC,14900000
CHR,2019,4,35000,1300,PETROL,AUTOMATIC,14900000
CHR,2019,4,35000,1300,PETROL,AUTOMATIC,14900000
PREMIO,2018,5,86352,1500,PETROL,MANUAL,14900000
HIACE,2015,8,90000,1200,PETROL,MANUAL,14800000
PREMIO,2018,5,38630,1500,PETROL,AUTOMATIC,14750000
HIACE,2015,8,96000,2700,DIESEL,AUTOMATIC,14700000
HIACE,2013,10,65000,2980,DIESEL,MANUAL,14700000
PREMIO,2018,5,19685,1500,PETROL,AUTOMATIC,14700000
HIACE,2008,15,125000,3000,DIESEL,AUTOMATIC,14700000
HIACE,2008,15,125000,3000,PETROL,MANUAL,14700000
PREMIO,2018,5,485000,1500,PETROL,AUTOMATIC,14650000
LAND CRUISER PRADO,2007,16,130000,1690,PETROL,MANUAL,14500000
HIACE,2015,8,135000,3000,DIESEL,AUTOMATIC,14500000
PREMIO,2018,5,90500,1500,PETROL,AUTOMATIC,14500000
HIACE,2017,6,47000,2986,DIESEL,MANUAL,14500000
PREMIO,2018,5,93000,1500,PETROL,AUTOMATIC,14500000
LAND CRUISER PRADO,2007,16,120000,2400,PETROL,TIPTRONIC,14500000
VOXY,2014,9,81000,1800,HYBRID,AUTOMATIC,14500000
PREMIO,2017,6,89140,1500,PETROL,AUTOMATIC,14500000
LAND CRUISER PRADO,2008,15,130000,2700,PETROL,AUTOMATIC,14500000
LAND CRUISER PRADO,2008,15,130000,2700,PETROL,AUTOMATIC,14500000
PREMIO,2017,6,89140,1500,PETROL,AUTOMATIC,14500000
LAND CRUISER PRADO,2007,16,134000,2700,PETROL,AUTOMATIC,14490000
LAND CRUISER PRADO,2007,16,134000,2700,PETROL,MANUAL,14490000
PREMIO,2018,5,42130,1500,PETROL,AUTOMATIC,14475000
HIACE,2014,9,120000,3000,PETROL,AUTOMATIC,14475000
CHR,2020,3,26000,1200,PETROL,AUTOMATIC,14450000
PREMIO,2017,6,95500,1500,PETROL,AUTOMATIC,14450000
PREMIO,2017,6,95500,1500,PETROL,AUTOMATIC,14450000
PREMIO,2018,5,65480,1500,HYBRID,AUTOMATIC,14400000
PREMIO,2018,5,65480,1500,HYBRID,AUTOMATIC,14400000
PREMIO,2018,5,52000,1500,PETROL,AUTOMATIC,14300000
HIACE,2011,12,200200,3000,DIESEL,MANUAL,14300000
PREMIO,2018,5,52000,1500,PETROL,AUTOMATIC,14300000
PREMIO,2018,5,52000,1500,PETROL,MANUAL,14300000
HILUX,2012,11,45670,2800,DIESEL,AUTOMATIC,14250000
CHR,2019,4,22400,1200,PETROL,AUTOMATIC,14250000
CHR,2019,4,22400,1200,PETROL,AUTOMATIC,14250000
HILUX,2012,11,45670,2800,HYBRID,AUTOMATIC,14250000
HIACE,2015,8,87000,3000,DIESEL,AUTOMATIC,14200000
HIACE,2014,9,122000,25000,DIESEL,AUTOMATIC,14200000
HIACE,2013,10,170000,3000,DIESEL,AUTOMATIC,14200000
HIACE,2014,9,122000,25000,DIESEL,AUTOMATIC,14200000
HIACE,2013,10,170000,3000,PETROL,AUTOMATIC,14200000
CHR,2019,4,22617,1190,PETROL,AUTOMATIC,14000000
HIACE,2014,9,32154,2000,PETROL,MANUAL,14000000
PREMIO,2008,15,101000,1600,HYBRID,MANUAL,14000000
PREMIO,2017,6,50000,1800,PETROL,AUTOMATIC,14000000
HIACE,2011,12,98652,3000,DIESEL,AUTOMATIC,14000000
CHR,2018,5,25000,1200,PETROL,AUTOMATIC,14000000
CHR,2018,5,53000,1200,PETROL,AUTOMATIC,14000000
HIACE,2012,11,150000,3000,DIESEL,AUTOMATIC,14000000
LAND CRUISER PRADO,2007,16,112000,2700,PETROL,AUTOMATIC,14000000
HIACE,2012,11,150000,3000,DIESEL,AUTOMATIC,14000000
CHR,2018,5,53000,1200,PETROL,AUTOMATIC,14000000
CHR,2018,5,25000,1200,PETROL,MANUAL,14000000
HIACE,2011,12,98652,3000,PETROL,AUTOMATIC,14000000
PREMIO,2017,6,50000,1800,PETROL,AUTOMATIC,14000000
PREMIO,2018,5,38500,1490,PETROL,AUTOMATIC,13950000
PREMIO,2018,5,63500,1490,PETROL,AUTOMATIC,13950000
CHR,2019,4,19400,1500,PETROL,AUTOMATIC,13900000
CHR,2019,4,19400,1500,DIESEL,MANUAL,13900000
HIACE,2015,8,91000,2700,PETROL,AUTOMATIC,13850000
HIACE,2014,9,130000,2000,PETROL,AUTOMATIC,13850000
HIACE,2012,11,65000,2500,PETROL,AUTOMATIC,13850000
HIACE,2012,11,184000,3000,DIESEL,AUTOMATIC,13800000
HIACE,2012,11,89000,2980,DIESEL,AUTOMATIC,13800000
PREMIO,2017,6,70000,1500,PETROL,AUTOMATIC,13800000
PREMIO,2017,6,70000,1500,PETROL,AUTOMATIC,13800000
HIACE,2012,11,89000,2980,PETROL,AUTOMATIC,13800000
HIACE,2012,11,184000,3000,DIESEL,MANUAL,13800000
PREMIO,2018,5,62500,1490,PETROL,AUTOMATIC,13750000
HIACE,2011,12,98000,2900,DIESEL,AUTOMATIC,13750000
HIACE,2011,12,98000,2900,DIESEL,AUTOMATIC,13750000
PREMIO,2017,6,74000,1490,PETROL,AUTOMATIC,13700000
PREMIO,2017,6,90000,1330,PETROL,AUTOMATIC,13700000
CHR,2017,6,18000,1500,PETROL,AUTOMATIC,13700000
HIACE,2013,10,25000,2500,DIESEL,AUTOMATIC,13700000
FORTUNER,2014,9,127000,2700,PETROL,AUTOMATIC,13700000
HIACE,2013,10,25000,2500,DIESEL,AUTOMATIC,13700000
CHR,2017,6,18000,1500,DIESEL,AUTOMATIC,13700000
CHR,2019,4,17000,1200,PETROL,AUTOMATIC,13690000
CHR,2018,5,13500,1200,PETROL,TIPTRONIC,13600000
CHR,2018,5,45000,1200,PETROL,AUTOMATIC,13590000
CHR,2019,4,32000,1200,PETROL,AUTOMATIC,13550000
CHR,2019,4,32000,1200,DIESEL,AUTOMATIC,13550000
HIACE,2017,6,90000,2000,PETROL,AUTOMATIC,13500000
HIACE,2013,10,73000,2000,PETROL,AUTOMATIC,13500000
PREMIO,2016,7,57000,1500,PETROL,AUTOMATIC,13500000
PREMIO,2017,6,73000,1500,HYBRID,AUTOMATIC,13500000
HIACE,2015,8,80100,3000,DIESEL,AUTOMATIC,13500000
VOXY,2014,9,78000,1750,HYBRID,AUTOMATIC,13500000
HIACE,2015,8,96000,2450,DIESEL,AUTOMATIC,13500000
HIACE,2015,8,80100,3000,DIESEL,AUTOMATIC,13500000
PREMIO,2017,6,73000,1500,HYBRID,AUTOMATIC,13500000
PREMIO,2017,6,52500,1490,PETROL,AUTOMATIC,13450000
CHR,2018,5,31000,1200,PETROL,AUTOMATIC,13450000
CHR,2018,5,31000,1200,HYBRID,TIPTRONIC,13450000
CHR,2018,5,23500,5600,PETROL,MANUAL,13400000
PREMIO,2017,6,42500,1490,PETROL,AUTOMATIC,13250000
HIACE,2007,16,176000,2490,DIESEL,AUTOMATIC,13250000
HIACE,2013,10,170000,3000,DIESEL,AUTOMATIC,13200000
PREMIO,2017,6,70000,1490,PETROL,AUTOMATIC,13200000
CHR,2018,5,50000,1200,PETROL,AUTOMATIC,13200000
CHR,2018,5,35000,1200,PETROL,AUTOMATIC,13200000
CHR,2018,5,35000,1200,PETROL,AUTOMATIC,13200000
CHR,2018,5,50000,1200,PETROL,AUTOMATIC,13200000
RUSH,2018,5,70000,1500,PETROL,AUTOMATIC,13150000
CHR,2017,6,9000,1800,PETROL,AUTOMATIC,13100000
PREMIO,2017,6,95000,1500,PETROL,AUTOMATIC,13000000
LAND CRUISER,2009,14,100000,3000,PETROL,AUTOMATIC,13000000
HIACE,2012,11,94860,1890,DIESEL,AUTOMATIC,13000000
HIACE,2012,11,180000,2000,PETROL,AUTOMATIC,13000000
VOXY,2015,8,127000,1800,HYBRID,AUTOMATIC,13000000
VOXY,2014,9,130000,1800,HYBRID,AUTOMATIC,13000000
HIACE,2015,8,140000,1990,PETROL,AUTOMATIC,13000000
LAND CRUISER PRADO,2007,16,169000,2000,DIESEL,MANUAL,13000000
CHR,2018,5,34000,1200,PETROL,AUTOMATIC,13000000
CHR,2018,5,52500,1200,PETROL,AUTOMATIC,13000000
HIACE,2012,11,134344,3000,DIESEL,AUTOMATIC,13000000
ALLION,2017,6,48000,1500,PETROL,AUTOMATIC,13000000
CHR,2018,5,34000,1200,PETROL,AUTOMATIC,13000000
HIACE,2012,11,134344,3000,PETROL,MANUAL,13000000
CHR,2018,5,52500,1200,PETROL,MANUAL,13000000
RAIZE,2020,3,23645,1000,PETROL,AUTOMATIC,13000000
PREMIO,2017,6,42500,1490,PETROL,AUTOMATIC,12950000
PREMIO,2017,6,135000,1500,PETROL,AUTOMATIC,12950000
RAIZE,2020,3,46000,1000,PETROL,AUTOMATIC,12950000
CHR,2018,5,39000,1200,PETROL,AUTOMATIC,12900000
CHR,2018,5,55000,1200,PETROL,AUTOMATIC,12900000
RAIZE,2020,3,17000,1500,PETROL,AUTOMATIC,12900000
CHR,2018,5,39000,1200,DIESEL,AUTOMATIC,12900000
RAIZE,2020,3,45000,1000,PETROL,AUTOMATIC,12900000
CHR,2018,5,28000,1496,PETROL,AUTOMATIC,12850000
HIACE,2015,8,138000,3000,DIESEL,MANUAL,12800000
PREMIO,2016,7,126500,2000,PETROL,AUTOMATIC,12800000
HIACE,2011,12,150000,3000,DIESEL,AUTOMATIC,12800000
CHR,2018,5,66000,1200,PETROL,AUTOMATIC,12800000
CHR,2018,5,47000,1200,PETROL,AUTOMATIC,12800000
AXIO,2018,5,54000,1500,PETROL,AUTOMATIC,12800000
CHR,2018,5,66000,1200,PETROL,AUTOMATIC,12800000
HIACE,2011,12,150000,3000,DIESEL,AUTOMATIC,12800000
PREMIO,2016,7,126500,2000,PETROL,AUTOMATIC,12800000
RAIZE,2020,3,47300,1000,PETROL,AUTOMATIC,12775000
CHR,2018,5,42000,1200,PETROL,AUTOMATIC,12750000
HIACE,2014,9,135000,3000,DIESEL,AUTOMATIC,12750000
HIACE,2007,16,98700,2000,DIESEL,AUTOMATIC,12750000
HIACE,2007,16,98700,2000,PETROL,AUTOMATIC,12750000
HIACE,2014,9,135000,3000,PETROL,AUTOMATIC,12750000
HIACE,2012,11,179000,3000,DIESEL,AUTOMATIC,12700000
NOAH,2014,9,78000,1800,HYBRID,AUTOMATIC,12700000
NOAH,2014,9,78000,1800,HYBRID,AUTOMATIC,12700000
HIACE,2007,16,218000,3000,DIESEL,AUTOMATIC,12690000
HIACE,2007,16,218000,3000,DIESEL,AUTOMATIC,12690000
PREMIO,2017,6,69500,1490,PETROL,AUTOMATIC,12685000
HIACE,2011,12,105000,3000,DIESEL,AUTOMATIC,12675000
PREMIO,2016,7,70000,1490,PETROL,AUTOMATIC,12650000
CHR,2018,5,81000,1500,PETROL,AUTOMATIC,12650000
CHR,2018,5,81000,1500,PETROL,AUTOMATIC,12650000
HIACE,2012,11,91000,3000,DIESEL,AUTOMATIC,12600000
HIACE,2012,11,118000,2980,DIESEL,AUTOMATIC,12600000
CHR,2018,5,58000,1200,PETROL,AUTOMATIC,12600000
NOAH,2014,9,120000,1800,HYBRID,AUTOMATIC,12600000
CHR,2018,5,85000,1200,PETROL,AUTOMATIC,12575000
CHR,2018,5,85000,1200,PETROL,AUTOMATIC,12575000
CHR,2018,5,36400,1500,PETROL,AUTOMATIC,12550000
CHR,2016,7,78000,1200,PETROL,AUTOMATIC,12550000
CHR,2016,7,78000,1200,PETROL,AUTOMATIC,12550000
CHR,2018,5,36400,1500,HYBRID,AUTOMATIC,12550000
HILUX,2012,11,120000,3000,DIESEL,AUTOMATIC,12500000
HIACE,2012,11,160000,3000,PETROL,AUTOMATIC,12500000
HIACE,2012,11,160000,2990,DIESEL,AUTOMATIC,12500000
CHR,2019,4,56000,25000,PETROL,AUTOMATIC,12500000
HIACE,2007,16,230000,2300,DIESEL,AUTOMATIC,12500000
HIACE,2015,8,95000,1500,PETROL,AUTOMATIC,12500000
CHR,2018,5,106000,1690,PETROL,MANUAL,12500000
PREMIO,2014,9,38000,1500,PETROL,AUTOMATIC,12500000
CHR,2018,5,106000,1690,DIESEL,AUTOMATIC,12500000
HIACE,2015,8,95000,1500,PETROL,AUTOMATIC,12500000
HILUX,2015,8,87000,2400,DIESEL,MANUAL,12470000
HIACE,2012,11,172000,3000,DIESEL,AUTOMATIC,12400000
AXIO,2018,5,67000,1500,HYBRID,AUTOMATIC,12400000
CHR,2019,4,75000,1496,DIESEL,MANUAL,12300000
CHR,2018,5,42000,1300,PETROL,AUTOMATIC,12300000
CHR,2019,4,75000,1496,DIESEL,MANUAL,12300000
CHR,2019,4,75000,1496,PETROL,AUTOMATIC,12300000
AXIO,2018,5,56000,1500,HYBRID,AUTOMATIC,12260000
HIACE,2015,8,123000,3000,DIESEL,AUTOMATIC,12250000
HIACE,2015,8,123000,3000,DIESEL,AUTOMATIC,12250000
HIACE,2015,8,123000,3000,PETROL,AUTOMATIC,12250000
PREMIO,2016,7,70000,1890,PETROL,AUTOMATIC,12200000
HIACE,2013,10,189000,2980,DIESEL,AUTOMATIC,12200000
HIACE,2014,9,34500,3000,DIESEL,MANUAL,12200000
HIACE,2014,9,80000,2980,PETROL,AUTOMATIC,12200000
HIACE,2007,16,250000,2600,DIESEL,AUTOMATIC,12200000
PREMIO,2016,7,112000,1500,PETROL,AUTOMATIC,12200000
RAIZE,2020,3,64000,1000,PETROL,AUTOMATIC,12200000
ALLION,2016,7,84000,1500,PETROL,AUTOMATIC,12150000
AXIO,2018,5,48000,1500,PETROL,AUTOMATIC,12150000
AXIO,2018,5,48000,1500,PETROL,AUTOMATIC,12150000
AXIO,2018,5,48000,1500,PETROL,MANUAL,12150000
AXIO,2018,5,660000,1200,HYBRID,AUTOMATIC,12100000
PREMIO,2016,7,102000,1496,PETROL,AUTOMATIC,12000000
NOAH,2014,9,160000,1900,HYBRID,AUTOMATIC,12000000
LAND CRUISER PRADO,2004,19,151950,2700,PETROL,MANUAL,12000000
ALLION,2014,9,115000,1500,PETROL,AUTOMATIC,12000000
HIACE,2008,15,81000,3000,DIESEL,AUTOMATIC,12000000
CHR,2018,5,36000,1200,PETROL,AUTOMATIC,12000000
LAND CRUISER PRADO,2008,15,148000,4461,DIESEL,AUTOMATIC,12000000
ALLION,2016,7,84000,1500,PETROL,AUTOMATIC,12000000
CHR,2018,5,78000,1500,PETROL,AUTOMATIC,12000000
HIACE,2010,13,234785,2500,DIESEL,AUTOMATIC,12000000
HIACE,2014,9,130000,1990,PETROL,AUTOMATIC,12000000
CHR,2018,5,75000,1300,PETROL,AUTOMATIC,12000000
CHR,2017,6,60580,1200,PETROL,AUTOMATIC,12000000
HILUX,2011,12,140000,3000,DIESEL,AUTOMATIC,12000000
HILUX,2011,12,140000,3000,DIESEL,AUTOMATIC,12000000
HIACE,2010,13,234785,2500,DIESEL,AUTOMATIC,12000000
CHR,2018,5,78000,1500,PETROL,AUTOMATIC,12000000
CHR,2017,6,60580,1200,PETROL,AUTOMATIC,12000000
CHR,2017,6,60580,1200,DIESEL,AUTOMATIC,12000000
HIACE,2010,13,234785,2500,DIESEL,MANUAL,12000000
RAIZE,2017,6,44998,1000,PETROL,AUTOMATIC,11990000
ALLION,2016,7,93000,1500,PETROL,AUTOMATIC,11950000
HIACE,2015,8,120000,2500,PETROL,AUTOMATIC,11900000
PREMIO,2016,7,90000,1500,PETROL,AUTOMATIC,11900000
PREMIO,2016,7,90000,1500,PETROL,AUTOMATIC,11900000
ALLION,2016,7,51800,1500,PETROL,AUTOMATIC,11850000
PRIUS,2016,7,76000,1800,HYBRID,AUTOMATIC,11850000
CHR,2017,6,59200,1200,PETROL,AUTOMATIC,11850000
CHR,2017,6,59200,1200,DIESEL,AUTOMATIC,11850000
CHR,2017,6,64000,1300,PETROL,AUTOMATIC,11800000
AXIO,2018,5,92000,1329,PETROL,AUTOMATIC,11800000
LAND CRUISER PRADO,2005,18,130000,2700,PETROL,AUTOMATIC,11800000
HIACE,2007,16,182000,2955,PETROL,MANUAL,11800000
HIACE,2011,12,214800,2660,PETROL,AUTOMATIC,11800000
RAIZE,2020,3,32520,1000,PETROL,AUTOMATIC,11800000
HIACE,2007,16,78900,2500,DIESEL,AUTOMATIC,11800000
HIACE,2008,15,200000,2980,DIESEL,AUTOMATIC,11800000
HIACE,2012,11,115000,3000,DIESEL,AUTOMATIC,11800000
HIACE,2008,15,200000,2980,DIESEL,AUTOMATIC,11800000
HIACE,2007,16,78900,2500,PETROL,MANUAL,11800000
RAIZE,2020,3,54000,1000,PETROL,AUTOMATIC,11800000
CHR,2017,6,26000,1200,PETROL,AUTOMATIC,11775000
CHR,2017,6,26000,1200,DIESEL,MANUAL,11775000
HIACE,2013,10,112000,3000,DIESEL,AUTOMATIC,11750000
HIACE,2013,10,112000,3000,DIESEL,AUTOMATIC,11750000
AXIO,2018,5,50800,1500,PETROL,AUTOMATIC,11700000
CHR,2018,5,42000,1200,PETROL,AUTOMATIC,11700000
HIACE,2011,12,91000,2990,DIESEL,AUTOMATIC,11700000
HIACE,2007,16,179000,2955,DIESEL,AUTOMATIC,11700000
HIACE,2014,9,84521,3000,PETROL,AUTOMATIC,11700000
HIACE,2012,11,160020,2990,DIESEL,AUTOMATIC,11700000
HILUX,2014,9,85000,2500,DIESEL,MANUAL,11700000
AXIO,2018,5,62000,1490,PETROL,AUTOMATIC,11700000
HILUX,2014,9,85000,2500,DIESEL,MANUAL,11700000
HIACE,2012,11,160020,2990,DIESEL,AUTOMATIC,11700000
HIACE,2014,9,84521,3000,PETROL,MANUAL,11700000
HIACE,2015,8,145000,1998,PETROL,MANUAL,11650000
HIACE,2015,8,145000,1998,DIESEL,MANUAL,11650000
RAIZE,2019,4,63000,1000,PETROL,AUTOMATIC,11650000
HIACE,2006,17,210000,2500,DIESEL,AUTOMATIC,11600000
HIACE,2006,17,170000,2500,DIESEL,AUTOMATIC,11600000
HIACE,2011,12,175000,2980,DIESEL,AUTOMATIC,11600000
HIACE,2006,17,170000,2500,DIESEL,AUTOMATIC,11600000
LAND CRUISER PRADO,2003,20,123456,2699,PETROL,AUTOMATIC,11575000
LAND CRUISER PRADO,2003,20,123456,2699,PETROL,AUTOMATIC,11575000
HIACE,2015,8,170000,3000,DIESEL,AUTOMATIC,11550000
HIACE,2011,12,159500,2500,DIESEL,AUTOMATIC,11500000
HIACE,2007,16,299000,2001,DIESEL,AUTOMATIC,11500000
HIACE,2007,16,140000,2500,DIESEL,AUTOMATIC,11500000
PRIUS,2016,7,72000,1800,HYBRID,AUTOMATIC,11500000
